Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0000000		GMRT_10049, GMRT_10085, GMRT_10287, GMRT_10631, GMRT_10667, GMRT_11063, GMRT_11159, GMRT_11262, GMRT_11289, GMRT_11460, GMRT_11550, GMRT_11621, GMRT_11632, GMRT_11874, GMRT_11885, GMRT_12083, GMRT_12213, GMRT_12315, GMRT_12427, GMRT_12629, GMRT_12630, GMRT_12650, GMRT_12682, GMRT_12767, GMRT_12775, GMRT_12794, GMRT_12974, GMRT_13041, GMRT_13169, GMRT_13171, GMRT_13516, GMRT_13699, GMRT_13936, GMRT_14017, GMRT_14048, GMRT_14069, GMRT_14252, GMRT_14450, GMRT_14478, GMRT_14632, GMRT_14947, GMRT_14968, GMRT_15040, GMRT_15070, GMRT_15113, GMRT_15264, GMRT_15533, GMRT_15621, GMRT_15794, GMRT_15818, GMRT_15848, GMRT_15943, GMRT_15976, GMRT_16081, GMRT_16267, GMRT_20138, GMRT_20198, GMRT_20406, GMRT_20507, GMRT_20521, GMRT_20709, GMRT_20759, GMRT_20865, GMRT_21141, GMRT_21153, GMRT_21305, GMRT_21598, GMRT_21811, GMRT_21894, GMRT_21926, GMRT_21955, GMRT_21983, GMRT_22194, GMRT_22541, GMRT_22618, GMRT_22641, GMRT_22709, GMRT_22901, GMRT_23152, GMRT_23160, GMRT_23219, GMRT_23224, GMRT_23246, GMRT_23425, GMRT_23641, GMRT_23677, GMRT_23715, GMRT_23777, GMRT_23891, GMRT_23986, GMRT_24024, GMRT_24219, GMRT_24443, GMRT_24470, GMRT_24501, GMRT_24502, GMRT_24661, GMRT_24788, GMRT_24839, GMRT_24885, GMRT_24888, GMRT_24936, GMRT_24991, GMRT_25165, GMRT_25199	
OG0000001		GMRT_10073, GMRT_10227, GMRT_10405, GMRT_10409, GMRT_10430, GMRT_10666, GMRT_10672, GMRT_10932, GMRT_10953, GMRT_11093, GMRT_11192, GMRT_11301, GMRT_11309, GMRT_11406, GMRT_11413, GMRT_11414, GMRT_11415, GMRT_11548, GMRT_11584, GMRT_11736, GMRT_11932, GMRT_11935, GMRT_12088, GMRT_12208, GMRT_12492, GMRT_12985, GMRT_13120, GMRT_13135, GMRT_13246, GMRT_13420, GMRT_13421, GMRT_13431, GMRT_13514, GMRT_14173, GMRT_14564, GMRT_14565, GMRT_14617, GMRT_14975, GMRT_14976, GMRT_15239, GMRT_15741, GMRT_16220, GMRT_16230, GMRT_20006, GMRT_20193, GMRT_20370, GMRT_20409, GMRT_20854, GMRT_20860, GMRT_21237, GMRT_21625, GMRT_21874, GMRT_21875, GMRT_22942, GMRT_22949, GMRT_23149, GMRT_23150, GMRT_23221, GMRT_23482, GMRT_23483, GMRT_23657, GMRT_23776, GMRT_24043, GMRT_24076, GMRT_24155, GMRT_24414, GMRT_24658, GMRT_24659, GMRT_24755, GMRT_24759, GMRT_24791, GMRT_25008, GMRT_25037, GMRT_25056, GMRT_25057, GMRT_25065, GMRT_25097, GMRT_25102, GMRT_25119, GMRT_25153, GMRT_25164, GMRT_25173, GMRT_25174, GMRT_25198, GMRT_25296, GMRT_25301, GMRT_25302, GMRT_25320, GMRT_25321, GMRT_25340, GMRT_25341, GMRT_25342	
OG0000002			SS50377_21315, SS50377_21326, SS50377_21346, SS50377_21414, SS50377_21442, SS50377_21631, SS50377_21712, SS50377_24305, SS50377_24608, SS50377_24619, SS50377_24620, SS50377_24621, SS50377_24622, SS50377_24623, SS50377_24649, SS50377_24651, SS50377_24666, SS50377_24668, SS50377_24787, SS50377_24807, SS50377_25200, SS50377_25201, SS50377_25226, SS50377_25228, SS50377_25269, SS50377_25898, SS50377_25906, SS50377_25913, SS50377_25918, SS50377_25919, SS50377_25927, SS50377_25928, SS50377_26220, SS50377_26233, SS50377_26321, SS50377_27079, SS50377_27094, SS50377_27731, SS50377_27738, SS50377_27890, SS50377_27912, SS50377_28159, SS50377_28167, SS50377_28168, SS50377_28417, SS50377_28492, SS50377_28504, SS50377_28513, SS50377_28523, SS50377_28527, SS50377_28547, SS50377_28553, SS50377_28555, SS50377_28556, SS50377_28557, SS50377_28558, SS50377_28559, SS50377_28560, SS50377_28566, SS50377_28595, SS50377_28600, SS50377_28601, SS50377_28602, SS50377_28612, SS50377_28613, SS50377_28632, SS50377_28633, SS50377_28634, SS50377_28652, SS50377_28653, SS50377_28654, SS50377_28655, SS50377_28656, SS50377_28657, SS50377_28658, SS50377_28661, SS50377_28662, SS50377_28663, SS50377_28664, SS50377_28668, SS50377_28669, SS50377_28671, SS50377_28672, SS50377_28673, SS50377_28674, SS50377_28678, SS50377_28681, SS50377_28685, SS50377_28689, SS50377_28722, SS50377_28723
OG0000003			SS50377_21340, SS50377_21341, SS50377_21378, SS50377_21382, SS50377_21386, SS50377_21426, SS50377_21427, SS50377_21428, SS50377_21436, SS50377_21438, SS50377_21439, SS50377_21448, SS50377_21453, SS50377_21543, SS50377_21548, SS50377_21554, SS50377_21556, SS50377_21566, SS50377_21567, SS50377_21570, SS50377_21571, SS50377_21576, SS50377_21579, SS50377_21580, SS50377_21587, SS50377_21609, SS50377_21618, SS50377_21619, SS50377_21624, SS50377_21628, SS50377_21639, SS50377_21647, SS50377_21657, SS50377_21663, SS50377_21665, SS50377_21669, SS50377_21676, SS50377_21692, SS50377_21696, SS50377_21698, SS50377_21709, SS50377_21715, SS50377_21723, SS50377_21732, SS50377_21736, SS50377_21737, SS50377_21741, SS50377_21764, SS50377_21800, SS50377_24213, SS50377_25227, SS50377_27897, SS50377_27915, SS50377_27931, SS50377_28477, SS50377_28498, SS50377_28501, SS50377_28516, SS50377_28520
OG0000004		GMRT_10112, GMRT_10451, GMRT_10709, GMRT_12920, GMRT_13124, GMRT_13275, GMRT_15686, GMRT_16008, GMRT_20510, GMRT_20512, GMRT_20518, GMRT_20656, GMRT_20756, GMRT_21145, GMRT_21149, GMRT_21374, GMRT_21596, GMRT_21633, GMRT_21759, GMRT_21925, GMRT_21957, GMRT_22301, GMRT_22304, GMRT_22758, GMRT_22764, GMRT_22769, GMRT_22932, GMRT_23270, GMRT_23558, GMRT_23646, GMRT_23647, GMRT_23664, GMRT_23665, GMRT_24080, GMRT_24220, GMRT_24228, GMRT_24390, GMRT_24393, GMRT_24397, GMRT_24400, GMRT_24401, GMRT_24404, GMRT_24405, GMRT_24421, GMRT_24787, GMRT_24792, GMRT_24840, GMRT_24886, GMRT_24937, GMRT_24939, GMRT_25125, GMRT_25297, GMRT_25300	SS50377_25041
OG0000005			SS50377_20001, SS50377_20005, SS50377_20008, SS50377_20013, SS50377_21284, SS50377_21294, SS50377_21297, SS50377_21298, SS50377_21301, SS50377_21421, SS50377_22212, SS50377_22220, SS50377_22221, SS50377_23414, SS50377_23415, SS50377_24555, SS50377_24558, SS50377_24559, SS50377_24564, SS50377_25221, SS50377_25232, SS50377_25233, SS50377_25601, SS50377_25602, SS50377_25606, SS50377_26664, SS50377_27716, SS50377_27718, SS50377_27734, SS50377_27735, SS50377_27741, SS50377_27742, SS50377_28363, SS50377_28368, SS50377_28709, SS50377_28728, SS50377_28729, SS50377_28730, SS50377_28752, SS50377_28753, SS50377_28754, SS50377_28755, SS50377_28757, SS50377_28758, SS50377_28759, SS50377_28772, SS50377_28793, SS50377_28850, SS50377_28853
OG0000006			SS50377_20002, SS50377_20003, SS50377_20006, SS50377_20010, SS50377_20011, SS50377_20015, SS50377_21283, SS50377_21299, SS50377_21303, SS50377_22219, SS50377_22222, SS50377_22223, SS50377_22224, SS50377_22225, SS50377_22226, SS50377_22227, SS50377_22228, SS50377_22229, SS50377_22230, SS50377_22231, SS50377_22232, SS50377_22233, SS50377_22234, SS50377_23410, SS50377_23411, SS50377_23412, SS50377_23413, SS50377_24557, SS50377_25603, SS50377_25604, SS50377_25607, SS50377_25608, SS50377_25609, SS50377_26666, SS50377_27715, SS50377_27719, SS50377_27720, SS50377_28362, SS50377_28764, SS50377_28765, SS50377_28766, SS50377_28767, SS50377_28768, SS50377_28769, SS50377_28770, SS50377_28771, SS50377_28794, SS50377_28795
OG0000007	GL50803_101380, GL50803_103992, GL50803_112208, GL50803_113163, GL50803_113304, GL50803_113512, GL50803_114470, GL50803_11470, GL50803_115158, GL50803_11521, GL50803_115742, GL50803_115830, GL50803_115831, GL50803_13194, GL50803_134710, GL50803_136003, GL50803_136004, GL50803_13727, GL50803_137604, GL50803_137608, GL50803_137697, GL50803_137707, GL50803_137708, GL50803_137714, GL50803_137752, GL50803_14331, GL50803_14783, GL50803_15158, GL50803_16501, GL50803_221693, GL50803_32607, GL50803_37093, GL50803_40591, GL50803_41227, GL50803_41472, GL50803_50101, GL50803_50143, GL50803_50359, GL50803_50370, GL50803_87628, GL50803_d103992, GL50803_d112208, GL50803_d113304, GL50803_d11521, GL50803_d14331, GL50803_d16501		
OG0000008	GL50803_100969, GL50803_101010, GL50803_101496, GL50803_101589, GL50803_102662, GL50803_103142, GL50803_112207, GL50803_112647, GL50803_112693, GL50803_112867, GL50803_113024, GL50803_114162, GL50803_114813, GL50803_115047, GL50803_137605, GL50803_137613, GL50803_137681, GL50803_137691, GL50803_137717, GL50803_137721, GL50803_137729, GL50803_137740, GL50803_16472, GL50803_26894, GL50803_33279, GL50803_38901, GL50803_41626, GL50803_50066, GL50803_50070, GL50803_50100, GL50803_50102, GL50803_50163, GL50803_50165, GL50803_50169, GL50803_50181, GL50803_50225, GL50803_50289, GL50803_50290, GL50803_50332, GL50803_50345, GL50803_50363, GL50803_50366, GL50803_50392, GL50803_50443, GL50803_50444, GL50803_89315		
OG0000009		GMRT_12159, GMRT_14329, GMRT_20164, GMRT_20659, GMRT_21236, GMRT_21605, GMRT_21606, GMRT_21611, GMRT_21617, GMRT_21619, GMRT_21630, GMRT_21632, GMRT_21634, GMRT_21694, GMRT_22753, GMRT_22934, GMRT_22935, GMRT_23151, GMRT_23325, GMRT_23484, GMRT_23642, GMRT_24395, GMRT_24398, GMRT_24402, GMRT_24417, GMRT_24419, GMRT_24455, GMRT_24660, GMRT_24841, GMRT_24843, GMRT_24992, GMRT_24997, GMRT_24998, GMRT_25000, GMRT_25011, GMRT_25013, GMRT_25079, GMRT_25156, GMRT_25161, GMRT_25176, GMRT_25294	
